date,ts_code,direction,price,shares,amount,commission,status,reason
20180115,000809.SZ,BUY,3.695535,38700,143017.2045,21.452580674999997,FILLED,
20180115,600237.SH,BUY,5.22783,27300,142719.759,21.407963849999998,FILLED,
20180115,000159.SZ,BUY,5.22783,27300,142719.759,21.407963849999998,FILLED,
20180115,000978.SZ,BUY,8.162225000000001,17500,142838.93750000003,21.425840625000003,FILLED,
20180115,000737.SZ,BUY,4.496735,31800,142996.173,21.44942595,FILLED,
20180115,603508.SH,BUY,37.756550000000004,3700,139699.23500000002,20.95488525,FILLED,
20180115,600313.SH,BUY,3.12468,45700,142797.87600000002,21.4196814,FILLED,
20180129,000809.SZ,SELL,3.624555,38700,140270.2785,21.040541774999998,FILLED,
20180129,600237.SH,SELL,5.122305,3300,16903.606499999998,2.5355409749999995,FILLED,
20180129,000159.SZ,SELL,5.41187,27300,147744.051,22.16160765,FILLED,
20180129,000978.SZ,SELL,8.317505,17500,145556.33750000002,21.833450625,FILLED,
20180129,603508.SH,SELL,38.3424,3700,141866.88,21.280032,FILLED,
20180129,600313.SH,SELL,3.125305,45700,142826.4385,21.423965774999996,FILLED,
20180129,600854.SH,BUY,5.287920000000001,23300,123208.53600000001,18.4812804,FILLED,
20180129,000428.SZ,BUY,4.126180000000001,29900,123372.78200000002,18.5059173,FILLED,
20180129,603020.SH,BUY,11.737580000000001,10500,123244.59000000001,18.4866885,FILLED,
20180129,600080.SH,BUY,8.572840000000001,14300,122591.61200000002,18.388741800000002,FILLED,
20180129,603117.SH,BUY,8.803185,14000,123244.58999999998,18.486688499999996,FILLED,
20180129,000705.SZ,BUY,8.302435,14700,122045.79449999999,18.306869174999996,FILLED,
20180212,600237.SH,SELL,4.183715,24000,100409.16,15.061373999999999,FILLED,
20180212,000737.SZ,SELL,4.21367,31800,133994.70599999998,20.099205899999994,FILLED,
20180212,600854.SH,SELL,4.5931,23300,107019.23,16.052884499999998,FILLED,
20180212,000428.SZ,SELL,3.6145700000000005,29900,108075.64300000001,16.21134645,FILLED,
20180212,603117.SH,SELL,8.577115000000001,14000,120079.61000000002,18.0119415,FILLED,
20180212,000705.SZ,SELL,6.9895000000000005,14700,102745.65000000001,15.4118475,FILLED,
20180212,603020.SH,BUY,10.35551,300,3106.6530000000002,0.46599795,FILLED,
20180212,000153.SZ,BUY,7.050560000000001,15800,111398.84800000001,16.7098272,FILLED,
20180212,600573.SH,BUY,7.050560000000001,15800,111398.84800000001,16.7098272,FILLED,
20180212,000032.SZ,BUY,7.541295000000001,14800,111611.16600000001,16.7416749,FILLED,
20180212,600178.SH,BUY,5.22783,21400,111875.562,16.7813343,FILLED,
20180212,000922.SZ,BUY,5.918865,18900,111866.5485,16.779982275,FILLED,
20180212,000679.SZ,BUY,5.778655,19200,110950.17599999999,16.642526399999998,FILLED,
20180226,600080.SH,SELL,8.457295,14300,120939.31850000001,18.140897775,FILLED,
20180226,000153.SZ,SELL,7.428840000000001,15800,117375.67200000002,17.6063508,FILLED,
20180226,000032.SZ,SELL,7.988,14800,118222.40000000001,17.73336,FILLED,
20180226,600178.SH,SELL,5.521705000000001,21400,118164.48700000002,17.724673050000003,FILLED,
20180226,000922.SZ,SELL,6.220655000000001,18900,117570.37950000001,17.635556925,FILLED,
20180226,000679.SZ,SELL,6.05091,19200,116177.472,17.4266208,FILLED,
20180226,600573.SH,BUY,7.47119,2200,16436.618,2.4654926999999995,FILLED,
