date,strategy,bench_000001.SH,bench_000300.SH,bench_000905.SZ
2018-01-15,998357.54,1000000.00,1000000.00,1000000.00
2018-01-29,860023.29,1032990.14,1018171.47,1001877.93
2018-02-12,779986.18,924831.05,920682.67,859154.93
2018-02-26,940213.03,976274.80,974718.43,969953.05
2018-03-12,1006096.17,975431.96,976907.08,1000000.00
2018-03-26,949115.01,918848.45,918265.86,866666.67
2018-04-09,969944.26,920188.96,911884.26,966197.18
2018-04-23,885533.14,899581.47,891387.55,868544.60
2018-05-07,889371.89,919705.51,907448.65,877934.27
2018-05-21,914038.26,942340.28,928052.08,899530.52
2018-06-04,882743.17,906377.83,901150.88,869483.57
2018-06-15,802455.16,886061.06,888336.38,821596.24
2018-07-02,779334.63,813829.82,806572.97,727699.53
2018-07-16,772564.66,825114.07,821748.94,712676.06
2018-07-30,802444.25,841243.05,831924.34,733333.33
2018-08-13,807086.83,816854.31,802402.86,748356.81
2018-08-27,794849.12,815396.17,806243.92,706103.29
2018-09-10,745647.18,782727.97,764469.86,663849.77
2018-09-21,777602.47,820259.34,807169.81,675117.37
2018-10-08,755936.12,796516.58,778866.84,647887.32
2018-10-22,776168.11,778444.62,773985.32,563380.28
2018-11-05,781264.36,781539.31,772224.92,577464.79
2018-11-19,785031.38,792705.16,779743.55,637558.69
2018-12-03,761617.60,778421.69,771778.82,652582.16
2018-12-17,738336.81,761760.06,748169.84,607511.74
2018-12-28,701268.42,731243.17,712540.38,569014.08
2019-01-14,726589.98,743519.74,726061.72,599061.03
2019-01-28,757212.01,761467.73,753514.17,579342.72
2019-02-11,779303.28,778157.22,782552.72,584037.56
2019-02-25,833256.53,868287.24,882667.90,662910.80
2019-03-11,838956.24,887554.02,882779.49,681690.14
2019-03-25,873234.72,892256.80,885825.61,909859.15
2019-04-08,962116.17,951421.06,960236.41,875117.37
2019-04-22,932582.03,942692.78,952753.35,863849.77
2019-05-06,869063.51,852213.47,872049.26,700469.48
2019-05-20,844981.06,841699.03,856233.73,701408.45
2019-06-03,885836.71,847409.73,859599.29,708920.19
